outcome,AgeGroup,Stage,candidate_joinpoints,n_joinpoints,aic,bic,selected_by_bic,dispersion
Incidence,50-64,Localized,2010;2018,2,128.32491258224601,132.10266849891178,False,1.0378904109626885
Incidence,50-64,Localized,2010;2019,2,129.97242500067784,133.7501809173436,False,1.173221235789974
Incidence,50-64,Localized,2011;2015,2,134.14842946304466,137.92618537971043,False,1.411998877129663
Incidence,50-64,Localized,2011;2016,2,132.4188414266991,136.19659734336486,False,1.298573149496118
Incidence,50-64,Localized,2011;2017,2,130.08411182502311,133.86186774168888,False,1.1463940021788812
Incidence,50-64,Localized,2011;2018,2,129.24283193763137,133.0205878542971,False,1.1031656465146609
Incidence,50-64,Localized,2011;2019,2,130.91489714681686,134.69265306348262,False,1.2389753707439204
Incidence,50-64,Localized,2012;2016,2,132.80264463395264,136.5804005506184,False,1.328974828747484
Incidence,50-64,Localized,2012;2017,2,130.431467758344,134.20922367500978,False,1.173643205679187
Incidence,50-64,Localized,2012;2018,2,129.67646775766983,133.4542236743356,False,1.1360675016383202
Incidence,50-64,Localized,2012;2019,2,131.4497151954896,135.22747111215537,False,1.2771717223229522
Incidence,50-64,Localized,2013;2017,2,130.50213600885752,134.2798919255233,False,1.1808423247308613
Incidence,50-64,Localized,2013;2018,2,129.89853010562877,133.67628602229453,False,1.1534608396797148
Incidence,50-64,Localized,2013;2019,2,131.83164903900558,135.60940495567132,False,1.303614854717393
Incidence,50-64,Localized,2014;2018,2,130.56659359261684,134.3443495092826,False,1.1949278493462439
Incidence,50-64,Localized,2014;2019,2,132.4846728840127,136.26242880067846,False,1.3413799973133722
Incidence,50-64,Localized,2015;2019,2,132.62783377398424,136.40558969065,False,1.3532459849161427
Incidence,50-64,Overall,None,0,190.87705513448816,192.76593309282103,False,3.0619844070316473
Incidence,50-64,Overall,2008,1,192.65376635744417,195.4870832949435,False,3.2503910253351775
Incidence,50-64,Overall,2009,1,192.87422804761115,195.70754498511047,False,3.2517497896461496
Incidence,50-64,Overall,2010,1,192.69720240042943,195.53051933792875,False,3.2298819417494187
Incidence,50-64,Overall,2011,1,192.11524182998483,194.94855876748414,False,3.1790340675700466
